iter17000 - BLEU = 0.10, 42.2/11.6/4.1/1.5 (BP=0.014, ratio=0.190, hyp_len=12875, ref_len=67703)
iter18000 - BLEU = 2.16, 43.5/11.7/3.7/1.3 (BP=0.310, ratio=0.461, hyp_len=31178, ref_len=67703)
iter19000 - BLEU = 2.85, 39.2/10.5/3.4/1.2 (BP=0.448, ratio=0.555, hyp_len=37561, ref_len=67703)
iter20000 - BLEU = 1.10, 35.0/9.4/3.0/1.0 (BP=0.199, ratio=0.383, hyp_len=25899, ref_len=67703)
iter21000 - BLEU = 0.74, 45.5/12.3/4.1/1.4 (BP=0.098, ratio=0.301, hyp_len=20361, ref_len=67703)
iter22000 - BLEU = 2.10, 43.8/12.1/4.0/1.4 (BP=0.287, ratio=0.444, hyp_len=30092, ref_len=67703)
iter23000 - BLEU = 1.29, 45.1/12.8/4.3/1.5 (BP=0.163, ratio=0.356, hyp_len=24081, ref_len=67703)
iter24000 - BLEU = 1.83, 47.0/13.2/4.4/1.6 (BP=0.226, ratio=0.402, hyp_len=27233, ref_len=67703)
iter25000 - BLEU = 2.37, 44.0/11.8/3.8/1.3 (BP=0.333, ratio=0.476, hyp_len=32250, ref_len=67703)
iter26000 - BLEU = 2.15, 43.5/12.2/4.1/1.5 (BP=0.286, ratio=0.444, hyp_len=30077, ref_len=67703)
iter27000 - BLEU = 2.25, 39.8/11.1/3.6/1.3 (BP=0.336, ratio=0.478, hyp_len=32392, ref_len=67703)
iter28000 - BLEU = 1.90, 45.8/12.9/4.3/1.6 (BP=0.239, ratio=0.411, hyp_len=27837, ref_len=67703)
iter29000 - BLEU = 2.41, 44.0/12.4/4.1/1.5 (BP=0.318, ratio=0.466, hyp_len=31573, ref_len=67703)
iter30000 - BLEU = 0.68, 47.1/14.1/4.9/1.8 (BP=0.078, ratio=0.281, hyp_len=19033, ref_len=67703)
iter31000 - BLEU = 2.99, 40.7/11.4/3.9/1.3 (BP=0.432, ratio=0.544, hyp_len=36809, ref_len=67703)
iter32000 - BLEU = 1.72, 47.2/13.3/4.5/1.5 (BP=0.216, ratio=0.395, hyp_len=26710, ref_len=67703)
iter33000 - BLEU = 0.86, 46.0/13.2/4.5/1.6 (BP=0.107, ratio=0.309, hyp_len=20940, ref_len=67703)
iter34000 - BLEU = 0.66, 44.7/13.0/4.5/1.5 (BP=0.083, ratio=0.286, hyp_len=19385, ref_len=67703)
iter35000 - BLEU = 2.29, 46.6/13.3/4.5/1.5 (BP=0.284, ratio=0.443, hyp_len=29996, ref_len=67703)
iter36000 - BLEU = 2.08, 41.9/11.7/4.0/1.4 (BP=0.286, ratio=0.444, hyp_len=30075, ref_len=67703)
