iter1000 - BLEU = 0.05, 29.4/2.0/0.1/0.0 (BP=0.072, ratio=0.276, hyp_len=18654, ref_len=67703)
iter2000 - BLEU = 0.62, 24.2/3.0/0.4/0.1 (BP=0.507, ratio=0.596, hyp_len=40337, ref_len=67703)
iter3000 - BLEU = 1.58, 24.5/3.9/0.7/0.2 (BP=0.852, ratio=0.862, hyp_len=58344, ref_len=67703)
iter4000 - BLEU = 1.07, 25.6/5.0/1.2/0.3 (BP=0.417, ratio=0.534, hyp_len=36128, ref_len=67703)
iter5000 - BLEU = 3.16, 29.5/6.7/1.9/0.6 (BP=0.829, ratio=0.842, hyp_len=57000, ref_len=67703)
iter6000 - BLEU = 2.45, 30.9/7.7/2.3/0.7 (BP=0.551, ratio=0.627, hyp_len=42437, ref_len=67703)
iter7000 - BLEU = 4.45, 26.9/7.6/2.5/0.8 (BP=0.976, ratio=0.976, hyp_len=66067, ref_len=67703)
iter8000 - BLEU = 3.13, 31.4/9.4/3.3/1.1 (BP=0.542, ratio=0.620, hyp_len=41980, ref_len=67703)
iter9000 - BLEU = 3.45, 35.7/11.4/4.4/1.7 (BP=0.466, ratio=0.567, hyp_len=38413, ref_len=67703)
iter10000 - BLEU = 4.73, 41.5/14.2/5.7/2.3 (BP=0.502, ratio=0.592, hyp_len=40065, ref_len=67703)
iter11000 - BLEU = 7.12, 44.2/15.5/6.3/2.6 (BP=0.693, ratio=0.731, hyp_len=49514, ref_len=67703)
iter12000 - BLEU = 3.99, 45.1/16.8/7.3/3.2 (BP=0.345, ratio=0.484, hyp_len=32789, ref_len=67703)
iter13000 - BLEU = 5.51, 45.9/17.2/7.6/3.4 (BP=0.459, ratio=0.562, hyp_len=38077, ref_len=67703)
iter14000 - BLEU = 5.46, 49.4/19.5/9.1/4.2 (BP=0.393, ratio=0.517, hyp_len=35027, ref_len=67703)
iter15000 - BLEU = 6.61, 48.4/19.3/9.0/4.2 (BP=0.483, ratio=0.579, hyp_len=39171, ref_len=67703)
iter16000 - BLEU = 8.27, 49.8/20.2/9.4/4.4 (BP=0.578, ratio=0.646, hyp_len=43740, ref_len=67703)
